commit_date,commit_date_time,commit_id,commit_message,commit_files,keep,filetype
2020-4-25,2020-4-25 17:28,4bc53684bcae8ecaede11197d5f01c2d4c5f956a,"4/25 data update
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;probable-confirmed-dod.csv;summary.csv;tests-by-zcta.csv,False,zcta
2020-4-25,2020-4-25 18:41,d3cbc0b3ec64ba98a58d28e0246cba2d223c1991,"Update README.md

Added documentation on sources for New York State reports of deaths in NYC, and difference with NYC DOHMH reports.
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;probable-confirmed-dod.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-4-26,2020-4-26 17:57,da609d813e5a53dd8402ad018bc2a2d1ea7e3170,"4/26 data update
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;probable-confirmed-dod.csv;summary.csv;tests-by-zcta.csv,False,zcta
2020-4-26,2020-4-26 19:36,03485181739e371bf80f7984f43100e04ad02d0a,"Update summary.csv
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;probable-confirmed-dod.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-4-27,2020-4-27 17:00,3ec3fa97d44c5b3054477c9c0998fa6d466bca72,"4/27 data update

Includes fix to yesterday's column-header change to tests-by-zcta.csv
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;probable-confirmed-dod.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-4-28,2020-4-28 17:58,81fcf12be08aadd730d1d39c153e3fd9ab371e77,"4/28 data update
",README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;probable-confirmed-dod.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-4-29,2020-4-29 16:58,c68db06972c3100297a615ba397245eff8b3ee9f,"4/29 data update

Includes moving probable-confirmed-dod.csv into a Deaths folder
",Deaths;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-4-30,2020-4-30 17:28,cdc5866a09ad9fa3d2c8e449dcf1803775b0a6df,"4/30 data update
",Deaths;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-5-1,2020-5-1 16:58,9e26adc2c475d3378d7579e48e936f8a807b254b,"5/1 data update
",Deaths;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-5-2,2020-5-2 19:14,946537b1647b4bc7c621716ef6f8e336de09068b,"5/2 data update
",Deaths;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-5-3,2020-5-3 17:26,26d8d4c6a64c75608eb9229a41cffbb72a03685d,"5/3 data update
",Deaths;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-5-4,2020-5-4 16:58,e9647e089c58884bb8ee5dd4972782c69327e3ee,"5/4 data update
",Deaths;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-5-5,2020-5-5 16:57,dbf813f886c2323ac1e161b9aac966e87278ae80,"5/5 data update
",Deaths;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-5-6,2020-5-6 16:57,d1df026ad726baf9554f3edd246b7495a8cd247f,"5/6 data update
",Deaths;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-5-7,2020-5-7 17:28,6d7c4a94d6472a9ffc061166d099a4e5d89cd3e3,"5/7 data update
",Deaths;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,False,zcta
2020-5-7,2020-5-7 22:11,ac2abb7dfee986000c092d21083de683c5ad3adc,"Added geographic resources
",Deaths;Geography-resources;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-5-8,2020-5-8 16:58,2dad8ad0c34db78a343a304ee5bcd56cf2a2194b,"5/8 data update
",Deaths;Geography-resources;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-5-9,2020-5-9 16:28,16f92651e3cd6585df1165e74126258f59f6fb91,"5/9 data update
",Deaths;Geography-resources;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,False,zcta
2020-5-9,2020-5-9 19:57,00dc16b359d445c54df46e50212a50b57e088fb4,"Update probable-confirmed-dod.csv

Fixed error in 5/9 commit that had msilabeled data for 5/8/2020.
",Deaths;Geography-resources;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-5-10,2020-5-10 17:43,257399da1e7e974e9366bf4c5d1d3bfbc6dc9093,"5/10 data update
",Deaths;Geography-resources;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-5-12,2020-5-12 01:27,5ef81d9009d68a65ef56a27ed2b2b7506952181a,"5/11 data update

Today's update includes new reports of approximately 3600 cases that previously had missing addresses. These cases were diagnosed earlier in the epidemic and do not reflect recently diagnosed patients.
",Deaths;Geography-resources;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,False,zcta
2020-5-12,2020-5-12 17:13,6b501e5e4fbe09d49d454e00e18205dd6fec9bff,"5/12 data update
",Deaths;Geography-resources;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,False,zcta
2020-5-12,2020-5-12 17:13,c85892345f5e7e868c62bc7a1e13c9138dbec172,"5/12 data update - summary timestamp
",Deaths;Geography-resources;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-5-13,2020-5-13 16:27,82ea643906d764faae2da4f9fdd1cdd922d98c73,"5/13 data update
",Deaths;Geography-resources;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-5-14,2020-5-14 16:58,ac5cfc575709dfe8a928a7637e4d5c4ccf33d43d,"5/14 daily update
",Deaths;Geography-resources;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-5-15,2020-5-15 17:07,ebe9ba75c55a2f1dcedbfc00396a6dc0873b71c4,"5/15 data update
",Deaths;Geography-resources;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-5-16,2020-5-16 17:38,25021ca2c2f77589988e750a4024967fa887c85d,5/16 data upload,Deaths;Geography-resources;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-5-17,2020-5-17 17:44,d9d894ac238333fb90ff44f19ad6bc7ad227eda4,5/17 data upload,Deaths;Geography-resources;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,False,zcta
2020-5-17,2020-5-17 18:06,67fdc83f696edf8d050b76eaf32b595b0679bf62,"5/17 data upload

Added updated file with correct date formatting",Deaths;Geography-resources;README.md;boro.csv;by-age.csv;by-sex.csv;case-hosp-death.csv;summary.csv;tests-by-zcta.csv,,zcta
2020-5-18,2020-5-18 19:22,50e60ee5c8f36198abc9b697761128dd29f10fc9,"5/18 data update

This update includes major data additions, including data-by-modzcta, Boro/, Deaths/ syndromic_data, tests, and more. Previous files that included rates (boro, by-age, by-sex) now also include counts. Major additions to Readme offer more technical notes on these data.
",Deaths;Geography-resources;README.md;boro.csv;boro;by-age.csv;by-boro.csv;by-poverty.csv;by-race.csv;by-sex.csv;case-hosp-death.csv;data-by-modzcta.csv;deaths;summary.csv;syndromic_data.csv;tests-by-zcta.csv;tests.csv,False,modzcta
2020-5-18,2020-5-18 20:45,dc8d2c0dc91d3654a2eef507ffc0a99924f63e95,"Delete probable-confirmed-dod.csv

All death files moved to deaths/",Geography-resources;README.md;boro.csv;boro;by-age.csv;by-boro.csv;by-poverty.csv;by-race.csv;by-sex.csv;case-hosp-death.csv;data-by-modzcta.csv;deaths;summary.csv;syndromic_data.csv;tests-by-zcta.csv;tests.csv,False,modzcta
2020-5-18,2020-5-18 20:46,c3c4d8904d2f540ac27fd924c5b413a6afe39dba,Restoring probable-confirmed-dod.csv,Geography-resources;README.md;boro.csv;boro;by-age.csv;by-boro.csv;by-poverty.csv;by-race.csv;by-sex.csv;case-hosp-death.csv;data-by-modzcta.csv;deaths;summary.csv;syndromic_data.csv;tests-by-zcta.csv;tests.csv,,modzcta
2020-5-19,2020-5-19 14:21,80df5dcbc293e03fe7af61683f4f6d3c1b940d5d,"Updated tests-by-zcta as of 5/18
",Geography-resources;README.md;boro.csv;boro;by-age.csv;by-boro.csv;by-poverty.csv;by-race.csv;by-sex.csv;case-hosp-death.csv;data-by-modzcta.csv;deaths;summary.csv;syndromic_data.csv;tests-by-zcta.csv;tests.csv,False,modzcta
2020-5-19,2020-5-19 18:15,a68f42fe3615eaf3d36df219059eb94595cee933,"5/19 data update
",Geography-resources;README.md;boro.csv;boro;by-age.csv;by-boro.csv;by-poverty.csv;by-race.csv;by-sex.csv;case-hosp-death.csv;data-by-modzcta.csv;deaths;summary.csv;syndromic_data.csv;tests-by-zcta.csv;tests.csv,False,modzcta
2020-5-19,2020-5-19 19:32,e57a1f574f1b0dabe588dbcf36eec42d88e1a7bc,"Fix problem with probable-confirmed-dod.csv

Initial upload left out the ""probable"" column of this file. Uploading a fixed version.",Geography-resources;README.md;boro.csv;boro;by-age.csv;by-boro.csv;by-poverty.csv;by-race.csv;by-sex.csv;case-hosp-death.csv;data-by-modzcta.csv;deaths;summary.csv;syndromic_data.csv;tests-by-zcta.csv;tests.csv,,modzcta
2020-5-20,2020-5-20 16:39,0c4a03c9a39470b49a60eb1456c64fb0df9e08f8,5/20 data upload,Geography-resources;README.md;boro.csv;boro;by-age.csv;by-boro.csv;by-poverty.csv;by-race.csv;by-sex.csv;case-hosp-death.csv;data-by-modzcta.csv;deaths;summary.csv;syndromic_data.csv;tests-by-zcta.csv;tests.csv,False,modzcta
2020-5-20,2020-5-20 16:39,f9dbf482111d0e7b1329f4b13032491a87d728a8,Corrected timestamp on summary.csv,Geography-resources;README.md;boro.csv;boro;by-age.csv;by-boro.csv;by-poverty.csv;by-race.csv;by-sex.csv;case-hosp-death.csv;data-by-modzcta.csv;deaths;summary.csv;syndromic_data.csv;tests-by-zcta.csv;tests.csv,,modzcta
2020-5-21,2020-5-21 17:36,d3a18736ecd9589ab4db24f8cdf76fd40b82c661,5/21 data update,Geography-resources;README.md;boro.csv;boro;by-age.csv;by-boro.csv;by-poverty.csv;by-race.csv;by-sex.csv;case-hosp-death.csv;data-by-modzcta.csv;deaths;summary.csv;syndromic_data.csv;tests-by-zcta.csv;tests.csv,False,modzcta
